disease,symptom
Giardia infection (giardiasis),Stomach cramps and bloating
Giardia infection (giardiasis),Gas
Giardia infection (giardiasis),Nausea
Giardia infection (giardiasis),Weight loss
Gilbert's syndrome,"Illness, such as a cold or the flu"
Gilbert's syndrome,Fasting or eating a very low-calorie diet
Gilbert's syndrome,Dehydration
Gilbert's syndrome,Menstruation
Gilbert's syndrome,Stress
Gilbert's syndrome,Strenuous exercise
Gilbert's syndrome,Lack of sleep
Glaucoma,"Patchy blind spots in your side (peripheral) or central vision, frequently in both eyes"
Glaucoma,Tunnel vision in the advanced stages
Krabbe disease,Feeding difficulties
Krabbe disease,Unexplained crying
Krabbe disease,Extreme irritability
Krabbe disease,Fever with no sign of infection
Krabbe disease,Declines in alertness
Krabbe disease,Delays in typical developmental milestones
Krabbe disease,Muscle spasms
Krabbe disease,Loss of head control
Krabbe disease,Frequent vomiting
Krabbe disease,Seizures
Krabbe disease,Loss of developmental abilities
Krabbe disease,Progressive loss of hearing and sight
Krabbe disease,"Rigid, constricted muscles"
Krabbe disease,"Stiff, fixed posture"
Krabbe disease,Progressive loss of ability to swallow and breathe
Golfer's elbow,"Pain and tenderness. Usually felt on the inner side of your elbow, the pain sometimes extends along the inner side of your forearm. Pain typically worsens with certain movements."
Golfer's elbow,"Stiffness. Your elbow may feel stiff, and making a fist might hurt."
Golfer's elbow,Weakness. You may have weakness in your hands and wrists.
Golfer's elbow,Numbness or tingling. These sensations might radiate into one or more fingers — usually the ring and little fingers.
Grand mal seizure,"Tonic phase. Loss of consciousness occurs, and the muscles suddenly contract and cause the person to fall down. This phase tends to last about 10 to 20 seconds."
Grand mal seizure,"Clonic phase. The muscles go into rhythmic contractions, alternately flexing and relaxing. Convulsions usually last one to two minutes or less."
Grand mal seizure,A scream. Some people may cry out at the beginning of a seizure.
Grand mal seizure,Loss of bowel and bladder control. This may happen during or following a seizure.
Grand mal seizure,Unresponsiveness after convulsions. Unconsciousness may persist for several minutes after the convulsion has ended.
Grand mal seizure,Confusion. A period of disorientation often follows a grand mal seizure. This is referred to as postictal confusion.
Grand mal seizure,Fatigue. Sleepiness is common after a grand mal seizure.
Grand mal seizure,Severe headache. Headaches may occur after a grand mal seizure.
Granulomatosis with polyangiitis,"Pus-like drainage with crusts from your nose, stuffiness, sinus infections and nosebleeds"
Granulomatosis with polyangiitis,"Coughing, sometimes with bloody phlegm"
Granulomatosis with polyangiitis,Shortness of breath or wheezing
Granulomatosis with polyangiitis,Fever
Granulomatosis with polyangiitis,Fatigue
Granulomatosis with polyangiitis,Joint pain
Granulomatosis with polyangiitis,"Numbness in your limbs, fingers or toes"
Granulomatosis with polyangiitis,Weight loss
Granulomatosis with polyangiitis,Blood in your urine
Granulomatosis with polyangiitis,"Skin sores, bruising or rashes"
Granulomatosis with polyangiitis,"Eye redness, burning or pain, and vision problems"
Granulomatosis with polyangiitis,Ear inflammation and hearing problems
Graves' disease,Anxiety and irritability
Graves' disease,A fine tremor of the hands or fingers
Graves' disease,"Heat sensitivity and an increase in perspiration or warm, moist skin"
Graves' disease,"Weight loss, despite normal eating habits"
Graves' disease,Enlargement of the thyroid gland (goiter)
Graves' disease,Change in menstrual cycles
Graves' disease,Erectile dysfunction or reduced libido
Graves' disease,Frequent bowel movements
Graves' disease,Bulging eyes (Graves' ophthalmopathy)
Graves' disease,Fatigue
Graves' disease,"Thick, red skin usually on the shins or tops of the feet (Graves' dermopathy)"
Graves' disease,Rapid or irregular heartbeat (palpitations)
Graves' disease,Sleep disturbance
Helicobacter pylori (H. pylori) infection,An ache or burning pain in your abdomen
Helicobacter pylori (H. pylori) infection,Abdominal pain that's worse when your stomach is empty
Helicobacter pylori (H. pylori) infection,Nausea
Helicobacter pylori (H. pylori) infection,Loss of appetite
Helicobacter pylori (H. pylori) infection,Frequent burping
Helicobacter pylori (H. pylori) infection,Bloating
Helicobacter pylori (H. pylori) infection,Unintentional weight loss
Hamstring injury,"Sports participation. Sports that require sprinting or running, or other activities such as dancing that might require extreme stretching, make a hamstring injury more likely."
Hamstring injury,"Prior hamstring injury. After you've had one hamstring injury, you're more likely to have another one, especially if you try to resume all your activities at pre-injury levels of intensity before your muscles have time to heal and rebuild strength."
Hamstring injury,"Poor flexibility. If you have poor flexibility, your muscles may not be able to bear the full force of the action required during certain activities."
Hamstring injury,"Muscle imbalance. Although not all experts agree, some suggest that a muscle imbalance may lead to hamstring injury. When the muscles along the front of your thigh — the quadriceps — become stronger and more developed than your hamstring muscles, you may be more likely to injure your hamstring muscles."
Wrist pain,"Sudden impacts. Wrist injuries often occur when you fall forward onto your outstretched hand. This can cause sprains, strains and even fractures. A scaphoid fracture involves a bone on the thumb side of the wrist. This type of fracture may not show up on X-rays immediately after the injury."
Wrist pain,"Repetitive stress. Any activity that involves repetitive wrist motion — from hitting a tennis ball or bowing a cello to driving cross-country — can inflame the tissues around joints or cause stress fractures, especially when you perform the movement for hours on end without a break. De Quervain's disease is a repetitive stress injury that causes pain at the base of the thumb."
Hand-foot-and-mouth disease,Fever
Hand-foot-and-mouth disease,Sore throat
Hand-foot-and-mouth disease,Feeling unwell
Hand-foot-and-mouth disease,"Painful, red, blister-like lesions on the tongue, gums and inside of the cheeks"
Hand-foot-and-mouth disease,"A red rash, without itching but sometimes with blistering, on the palms, soles and sometimes the buttocks"
Hand-foot-and-mouth disease,Irritability in infants and toddlers
Hand-foot-and-mouth disease,Loss of appetite
Hantavirus pulmonary syndrome,Fever and chills
Hantavirus pulmonary syndrome,Headaches and muscle aches
Hantavirus pulmonary syndrome,"Vomiting, diarrhea or abdominal pain"
Hantavirus pulmonary syndrome,A cough that produces secretions
Hantavirus pulmonary syndrome,Shortness of breath
Hantavirus pulmonary syndrome,Fluid accumulating within the lungs
Hantavirus pulmonary syndrome,Low blood pressure
Hantavirus pulmonary syndrome,Reduced heart efficiency
Hepatitis A,Fatigue
Hepatitis A,Sudden nausea and vomiting
Hepatitis A,"Abdominal pain or discomfort, especially on the upper right side beneath your lower ribs (by your liver)"
Hepatitis A,Clay-colored bowel movements
Hepatitis A,Loss of appetite
Hepatitis A,Low-grade fever
Hepatitis A,Dark urine
Hepatitis A,Joint pain
Hepatitis A,Yellowing of the skin and the whites of your eyes (jaundice)
Hepatitis A,Intense itching
Hepatitis B,Abdominal pain
Hepatitis B,Dark urine
Hepatitis B,Fever
Hepatitis B,Joint pain
Hepatitis B,Loss of appetite
Hepatitis B,Nausea and vomiting
Hepatitis B,Weakness and fatigue
Hepatitis B,Yellowing of your skin and the whites of your eyes (jaundice)
Head lice,"Itching. The most common symptom of a lice infestation is itching on the scalp, neck and ears. This is an allergic reaction to louse bites. When a person has a lice infestation for the first time, itching may not occur for four to six weeks after infestation."
Head lice,"Lice on scalp. Lice may be visible but are difficult to spot because they're small, avoid light and move quickly."
Head lice,"Lice eggs (nits) on hair shafts. Nits stick to hair shafts. Incubating nits may be difficult to see because they're very tiny. They're easiest to spot around the ears and the hairline of the neck. Empty nits may be easier to spot because they're lighter in color and further from the scalp. However, the presence of nits doesn't necessarily indicate an active infestation."
Head lice,"Sores on the scalp, neck and shoulders. Scratching can lead to small, red bumps that may sometimes get infected with bacteria."
Migraine,Constipation
Migraine,"Mood changes, from depression to euphoria"
Migraine,Food cravings
Migraine,Neck stiffness
Migraine,Increased urination
Migraine,Fluid retention
Migraine,Frequent yawning
Sex headaches,A dull ache in the head and neck that intensifies as sexual excitement increases
Sex headaches,"A sudden, severe, throbbing headache that occurs just before or at the moment of orgasm"
Sinus headaches,"Pain, pressure and fullness in your cheeks, brow or forehead"
Sinus headaches,Worsening pain if you bend forward or lie down
Sinus headaches,Stuffy nose
Sinus headaches,Fatigue
Sinus headaches,Achy feeling in your upper teeth
Spinal headaches,"Dull, throbbing pain that varies in intensity from mild to incapacitating"
Spinal headaches,Pain that typically gets worse when you sit up or stand and decreases or goes away when you lie down
Spinal headaches,Dizziness
Spinal headaches,Ringing in the ears (tinnitus)
Spinal headaches,Hearing loss
Spinal headaches,Blurred or double vision
Spinal headaches,Sensitivity to light (photophobia)
Spinal headaches,Nausea and vomiting
Spinal headaches,Neck pain or stiffness
Spinal headaches,Seizures
Headaches in children,Pulsating or throbbing head pain
Headaches in children,Pain that worsens with activity
Headaches in children,Nausea
Headaches in children,Vomiting
Headaches in children,Abdominal pain
Headaches in children,Extreme sensitivity to light and sound
Illness anxiety disorder,Being preoccupied with having or getting a serious disease or health condition
Illness anxiety disorder,Worrying that minor symptoms or body sensations mean you have a serious illness
Illness anxiety disorder,Being easily alarmed about your health status
Illness anxiety disorder,Finding little or no reassurance from doctor visits or negative test results
Illness anxiety disorder,Worrying excessively about a specific medical condition or your risk of developing a medical condition because it runs in your family
